Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-2302,7.64,0.65,173.4,271.52,376.17,1.79,3.31,65.0
MOR-3099,2.03,0.58,104.89,345.46,392.16,1.62,4.33,39.0
MOR-4741,6.33,0.75,166.07,388.22,219.56,1.1,3.56,69.0
MOR-6072,6.0,0.32,185.75,286.61,171.61,2.19,6.43,51.0
MOR-7486,4.64,0.39,190.12,319.42,296.74,1.17,5.64,48.0
MOR-3968,8.81,0.24,214.15,350.21,285.99,2.78,4.36,61.0
MOR-6907,3.13,0.65,241.35,374.72,248.45,2.5,7.98,68.0
MOR-3278,7.33,0.18,71.54,329.81,364.77,1.94,5.15,56.0
MOR-6551,5.45,0.44,99.18,226.94,278.68,2.13,2.39,36.0
MOR-4376,7.31,0.24,150.5,383.25,255.02,2.57,6.76,41.0
MOR-8095,3.5,0.13,125.51,357.08,279.0,1.11,5.79,43.0
MOR-7359,4.78,0.5,77.6,337.57,194.84,2.7,4.44,34.0
MOR-9887,2.59,0.44,102.74,247.4,232.49,0.63,2.93,48.0
MOR-6393,6.36,0.35,56.27,328.4,283.89,1.7,6.46,61.0
MOR-6014,4.23,0.65,244.24,232.51,189.54,2.58,7.69,67.0
MOR-5523,7.71,0.25,198.93,390.74,309.13,2.14,2.72,37.0
MOR-7510,6.84,0.6,207.66,306.66,191.66,1.76,4.68,48.0
MOR-6038,2.27,0.15,112.5,397.81,166.96,0.77,7.15,33.0
MOR-5997,5.27,0.49,63.86,225.09,206.42,2.38,6.95,38.0
MOR-9217,2.1,0.52,230.21,243.37,299.89,1.95,7.41,65.0
MOR-5646,6.82,0.64,77.98,303.27,362.07,2.8,7.86,41.0
MOR-9688,3.23,0.23,92.22,236.85,340.97,1.09,2.91,66.0
MOR-7017,5.09,0.63,128.14,384.06,338.86,2.74,4.44,42.0
MOR-7452,6.99,0.64,102.47,278.09,173.81,2.87,4.9,42.0
MOR-4323,3.79,0.83,204.07,284.53,253.93,1.55,6.83,37.0
MOR-9205,8.98,0.71,79.41,372.86,196.52,0.62,6.63,63.0
MOR-8526,7.96,0.29,166.9,266.19,399.61,1.27,6.97,41.0
MOR-5601,2.14,0.56,140.57,307.85,219.77,2.01,4.23,49.0
MOR-1028,4.94,0.14,53.47,206.14,257.35,2.44,5.9,67.0
MOR-7186,8.26,0.88,229.12,388.01,186.72,1.94,2.08,45.0
MOR-7717,3.19,0.43,178.38,358.89,317.36,1.48,4.28,64.0
MOR-8199,6.17,0.15,164.1,284.83,304.66,1.0,6.64,46.0
MOR-8744,3.08,0.48,112.41,399.62,295.16,1.69,4.6,55.0
MOR-9043,6.55,0.84,140.46,209.6,352.73,1.4,3.82,69.0
MOR-7144,6.08,0.85,118.19,329.9,333.74,2.95,3.24,37.0
MOR-4708,3.07,0.83,71.67,201.4,317.97,0.84,4.81,33.0
MOR-5073,4.56,0.31,72.87,377.64,338.9,2.71,2.07,37.0
MOR-6541,8.09,0.41,53.8,217.74,161.57,2.52,5.66,33.0
MOR-7515,4.0,0.6,122.95,397.96,383.61,2.11,3.42,34.0
MOR-8436,8.77,0.2,72.4,244.48,162.27,2.26,2.36,32.0
MOR-1558,6.36,0.23,189.94,271.0,293.61,2.23,6.2,34.0
MOR-2214,4.01,0.89,162.53,299.28,346.4,2.34,6.83,47.0
MOR-9361,7.62,0.85,119.54,226.84,310.19,1.86,5.28,55.0
MOR-2306,5.95,0.87,110.85,217.37,331.7,1.77,3.74,48.0
MOR-7461,6.19,0.37,211.94,312.33,249.89,1.1,3.34,63.0
MOR-4768,4.31,0.31,59.07,349.61,162.3,2.3,6.94,60.0
MOR-5141,4.66,0.77,88.01,279.59,286.61,2.22,6.2,36.0
MOR-9086,8.52,0.36,108.26,236.87,161.52,0.65,5.2,63.0
MOR-8116,3.45,0.36,103.73,333.27,151.78,0.8,4.05,33.0
MOR-2888,6.34,0.26,236.69,213.83,238.36,1.09,5.17,37.0
MOR-2878,5.6,0.6,215.64,397.26,277.8,0.58,3.22,64.0
MOR-7245,2.95,0.83,163.18,202.5,301.78,0.67,2.73,42.0
MOR-8874,6.47,0.13,231.44,312.55,161.88,1.12,6.11,65.0
MOR-7357,8.88,0.36,92.65,337.87,207.05,1.54,3.08,58.0
MOR-9853,3.69,0.41,147.37,304.63,354.26,2.01,5.41,40.0
MOR-8541,2.57,0.21,231.94,333.59,374.22,1.44,5.87,52.0
MOR-4215,7.27,0.54,59.77,361.19,215.62,1.75,2.01,65.0
MOR-2490,2.91,0.86,228.84,396.66,387.73,2.19,7.35,34.0
MOR-4238,7.94,0.66,149.53,367.29,375.7,2.12,3.97,60.0
MOR-4493,7.55,0.47,195.24,386.95,286.57,1.99,3.32,53.0
MOR-5557,7.67,0.43,231.23,279.81,273.8,2.92,2.63,50.0
MOR-3795,4.77,0.3,97.29,362.12,390.01,1.1,6.85,61.0
MOR-3977,4.08,0.87,234.73,391.21,211.87,2.0,7.42,36.0
MOR-3369,3.87,0.85,156.0,336.12,348.83,2.79,4.72,65.0
MOR-6830,7.87,0.78,76.46,313.68,231.28,0.5,3.33,51.0
MOR-4728,6.76,0.55,245.17,297.75,278.74,2.54,5.65,52.0
MOR-7113,6.39,0.85,212.69,312.31,214.39,2.47,2.91,64.0
MOR-7029,4.6,0.23,53.02,301.6,164.86,0.98,5.86,52.0
MOR-4352,3.52,0.7,96.43,358.97,316.3,2.17,6.19,45.0
MOR-6300,7.92,0.78,244.97,252.54,191.23,1.62,6.52,43.0
MOR-9268,5.59,0.13,140.47,207.41,224.23,1.72,5.86,44.0
MOR-7328,3.54,0.12,249.47,245.81,367.44,0.86,5.66,52.0
MOR-7799,5.29,0.67,144.83,218.54,235.34,2.77,5.34,50.0
MOR-8338,2.04,0.7,166.66,247.13,292.7,1.66,4.42,35.0
MOR-1371,5.07,0.27,201.75,315.32,246.29,0.54,4.44,54.0
MOR-1081,2.87,0.46,234.33,366.71,238.79,1.89,5.98,53.0
MOR-3650,4.71,0.87,249.09,307.69,172.74,2.99,7.44,43.0
MOR-4960,2.97,0.83,109.27,367.63,189.96,1.33,2.47,50.0
MOR-9531,6.32,0.35,178.9,359.85,352.46,1.65,5.44,41.0
MOR-5998,8.23,0.71,108.11,216.4,201.08,2.9,4.02,70.0
MOR-4544,8.71,0.55,153.8,233.04,370.26,1.53,2.82,69.0
MOR-8017,2.98,0.54,210.19,228.13,229.72,1.41,2.6,40.0
MOR-2662,8.4,0.31,113.54,246.08,357.93,1.39,6.06,44.0
MOR-9439,6.3,0.71,71.31,393.59,364.47,1.09,4.23,60.0
MOR-3567,7.89,0.71,235.71,343.79,319.71,2.77,4.99,60.0
MOR-8802,6.96,0.77,131.79,250.13,160.64,1.08,4.04,36.0
MOR-1956,8.59,0.53,113.86,298.89,303.9,2.09,5.97,66.0
MOR-6397,2.54,0.26,117.54,236.99,364.94,1.6,7.66,47.0
MOR-4751,4.24,0.25,70.0,305.19,342.45,1.69,6.83,45.0
MOR-5099,6.96,0.46,219.7,333.37,263.22,0.97,3.72,60.0
MOR-4425,5.8,0.74,83.12,276.4,362.5,0.94,2.69,61.0
MOR-8053,7.11,0.19,227.79,387.47,397.36,2.56,6.24,32.0
MOR-4114,8.74,0.37,66.44,355.06,182.84,1.62,6.36,65.0
MOR-1187,7.85,0.14,138.98,218.59,313.04,2.56,7.5,44.0
MOR-9549,5.05,0.33,62.95,359.86,234.57,2.87,3.99,62.0
MOR-9715,5.91,0.82,203.56,207.54,215.89,1.89,7.07,56.0
MOR-3841,8.74,0.37,178.38,294.31,260.25,1.22,5.37,30.0
MOR-3541,4.36,0.19,162.67,268.55,237.27,1.2,4.17,48.0
MOR-4059,4.69,0.79,200.02,334.75,371.08,1.85,6.25,46.0
MOR-7966,7.53,0.56,111.58,319.64,187.18,2.93,4.03,44.0
MOR-6773,8.44,0.72,102.23,306.97,244.02,2.76,2.04,58.0
MOR-9467,2.21,0.78,207.1,207.59,250.62,0.9,4.44,57.0
MOR-4049,8.99,0.48,147.74,389.69,291.73,1.64,3.37,30.0
MOR-4109,7.03,0.75,60.33,319.68,294.19,1.57,5.62,40.0
MOR-5809,2.87,0.72,202.67,252.4,188.52,1.22,3.86,45.0
MOR-6912,4.97,0.34,170.92,382.98,394.5,1.12,3.19,51.0
MOR-1025,5.03,0.47,186.8,319.89,198.96,1.78,2.8,45.0
MOR-5988,5.97,0.1,237.65,297.98,315.14,2.14,6.13,54.0
MOR-2396,7.2,0.22,223.16,349.92,299.92,1.44,3.8,63.0
MOR-1702,8.62,0.17,227.17,265.16,380.48,2.37,2.46,53.0
MOR-6942,7.98,0.35,172.9,368.59,347.57,1.18,2.56,44.0
MOR-5103,6.59,0.87,164.01,332.04,300.71,0.75,4.4,38.0
MOR-3847,5.27,0.18,111.67,216.87,274.82,0.72,3.02,49.0
MOR-6831,3.79,0.25,89.25,353.46,277.73,1.0,7.29,49.0
MOR-9275,7.78,0.6,193.28,353.66,245.99,1.97,6.86,55.0
MOR-5662,4.92,0.22,77.86,301.16,238.71,1.82,3.94,35.0
MOR-5345,6.54,0.14,209.97,342.86,249.63,1.01,5.64,69.0
MOR-6625,6.57,0.53,63.61,221.82,284.77,1.61,2.32,67.0
MOR-1786,7.61,0.66,187.62,307.77,258.7,0.73,4.86,41.0
MOR-5417,3.08,0.33,212.7,318.33,151.25,1.58,3.32,67.0
MOR-2905,4.21,0.74,190.72,300.35,255.21,0.96,2.78,66.0
MOR-4375,5.36,0.74,128.67,220.01,337.17,1.61,4.97,34.0
MOR-1455,5.75,0.24,66.4,359.35,195.15,0.75,3.63,41.0
MOR-2051,4.21,0.72,110.3,343.77,281.47,2.22,7.29,49.0
MOR-6882,6.24,0.28,77.79,217.41,165.24,2.26,3.36,34.0
MOR-6952,3.69,0.39,204.27,382.74,259.75,0.91,7.08,40.0
MOR-5006,3.01,0.61,99.87,202.83,327.97,1.12,2.11,57.0
MOR-7667,3.28,0.34,102.22,285.44,215.56,2.87,3.29,43.0
MOR-7605,6.44,0.74,162.61,260.54,154.07,2.45,2.61,57.0
MOR-4637,5.93,0.11,113.2,368.76,355.34,2.79,2.72,64.0
MOR-2076,6.71,0.54,128.34,325.21,369.61,1.62,2.7,48.0
MOR-7645,5.11,0.29,203.31,272.21,379.16,2.59,4.6,70.0
MOR-4314,3.78,0.28,171.48,384.69,395.87,1.51,5.74,36.0
MOR-4374,8.94,0.25,200.55,357.45,221.28,2.64,5.88,35.0
MOR-1527,7.11,0.51,82.23,378.7,249.94,1.25,5.48,63.0
MOR-3699,2.6,0.34,90.62,273.4,376.31,2.63,5.26,45.0
MOR-3720,8.54,0.53,222.84,321.69,176.7,0.53,6.25,70.0
MOR-7730,3.49,0.77,102.14,251.46,253.85,2.22,5.59,37.0
MOR-9337,2.61,0.77,103.94,253.32,271.68,1.85,7.37,68.0
MOR-4403,5.57,0.65,223.75,323.2,375.49,2.78,2.43,33.0
MOR-9063,8.37,0.13,176.41,364.95,300.93,1.0,4.85,30.0
MOR-9497,3.74,0.11,60.89,208.6,240.78,2.86,6.64,45.0
MOR-8834,5.03,0.72,191.32,380.44,198.92,2.48,6.31,44.0
MOR-8357,2.94,0.75,53.34,225.15,219.89,0.83,5.64,39.0
MOR-1676,8.42,0.7,101.01,332.26,395.3,2.27,3.0,33.0
MOR-7714,3.18,0.68,192.63,299.49,250.56,1.66,4.9,45.0
MOR-3353,7.4,0.78,82.95,296.74,357.1,0.71,7.37,55.0
MOR-4085,5.74,0.22,70.51,243.14,215.99,1.84,3.18,61.0
MOR-1867,2.33,0.41,176.14,219.03,319.37,2.84,6.7,61.0
MOR-4506,8.81,0.16,150.22,364.35,312.78,2.44,3.28,67.0
MOR-4460,8.94,0.75,181.03,371.45,392.87,0.86,7.58,56.0
MOR-1056,4.75,0.5,181.8,328.04,160.75,2.99,7.08,60.0
MOR-7030,6.72,0.6,59.87,360.65,372.59,1.2,4.58,53.0
MOR-4484,8.36,0.62,176.28,351.28,224.12,2.97,6.04,34.0
MOR-6520,6.96,0.88,106.74,288.86,250.12,1.88,6.77,54.0
MOR-9743,8.7,0.12,148.47,330.7,159.3,1.54,2.71,38.0
MOR-8012,4.88,0.17,56.74,387.53,177.89,2.89,6.93,65.0
MOR-3348,5.87,0.17,200.5,229.39,285.83,1.56,5.73,63.0
MOR-2443,3.67,0.55,230.83,270.75,199.76,1.28,4.54,51.0
MOR-7427,8.08,0.28,169.61,215.6,302.51,1.27,7.92,68.0
MOR-9437,8.24,0.86,82.23,296.63,215.48,1.06,7.83,64.0
MOR-5560,8.29,0.78,145.89,339.02,344.76,0.82,5.14,65.0
MOR-1405,7.45,0.43,168.38,392.49,176.71,1.13,2.65,64.0
MOR-7032,6.23,0.12,158.68,278.84,169.72,2.36,2.71,63.0
MOR-7854,4.14,0.26,249.53,278.44,305.29,2.72,7.07,32.0
MOR-7242,3.75,0.75,195.93,309.73,383.65,2.92,7.72,65.0
MOR-8246,7.26,0.2,143.18,224.31,154.43,2.82,4.75,38.0
MOR-8759,3.87,0.25,64.03,304.56,316.81,2.08,6.89,62.0
MOR-9728,5.38,0.26,95.82,335.7,202.19,2.26,6.7,33.0
MOR-8826,6.15,0.82,176.41,255.78,207.7,2.87,3.52,41.0
MOR-6785,7.92,0.78,152.84,304.8,170.87,1.06,7.61,40.0
MOR-2473,5.7,0.89,195.23,221.14,219.24,2.05,4.42,30.0
MOR-8316,6.25,0.2,162.76,214.48,386.32,2.09,7.19,50.0
MOR-8255,6.36,0.4,75.84,397.27,259.03,2.27,7.13,41.0
MOR-3344,3.56,0.54,98.55,201.59,371.91,2.1,4.96,67.0
MOR-3493,6.86,0.27,53.76,223.42,363.87,2.61,3.34,31.0
MOR-3304,7.42,0.83,134.85,285.19,342.96,1.19,2.28,44.0
MOR-7061,5.81,0.65,187.17,321.55,272.33,2.45,3.0,63.0
MOR-1661,3.7,0.62,65.54,350.3,183.77,2.47,3.76,49.0
MOR-2464,3.93,0.34,218.08,251.69,265.4,1.03,7.29,59.0
MOR-5511,5.03,0.54,245.85,373.64,246.5,0.9,2.05,41.0
MOR-7240,7.24,0.36,174.96,212.3,255.56,1.15,4.52,56.0
MOR-9584,2.17,0.36,218.0,268.93,235.81,1.47,3.74,36.0
MOR-3381,6.7,0.21,146.68,336.12,319.69,2.16,4.07,36.0
MOR-8735,6.48,0.41,212.34,224.41,189.5,0.53,3.24,41.0
MOR-2918,5.34,0.83,50.81,219.33,390.66,2.56,7.09,32.0
MOR-1687,6.07,0.78,62.07,253.02,155.16,0.84,4.31,31.0
MOR-2046,6.43,0.4,65.67,288.17,201.52,2.35,4.54,64.0
MOR-6923,3.74,0.38,53.95,301.88,319.93,1.78,5.86,49.0
MOR-5977,3.02,0.85,222.91,234.74,259.3,2.72,2.28,34.0
MOR-5753,3.5,0.72,189.29,222.65,229.91,2.75,3.37,31.0
MOR-8215,4.98,0.4,74.44,260.08,292.71,1.02,4.25,47.0
MOR-4133,8.68,0.8,50.59,291.91,287.06,1.26,4.04,52.0
MOR-3387,5.17,0.39,112.08,238.83,191.38,1.74,5.8,35.0
MOR-7698,5.0,0.36,60.05,236.68,396.61,1.94,2.85,38.0
MOR-5894,8.13,0.65,81.89,225.21,205.56,1.52,3.71,31.0
MOR-4385,4.34,0.78,246.86,354.08,166.93,2.82,5.81,47.0
MOR-8494,8.63,0.71,146.17,243.83,324.31,0.79,4.8,45.0
MOR-5400,3.14,0.61,186.06,352.08,274.9,1.98,2.9,70.0
MOR-4476,3.27,0.79,129.22,317.84,157.89,2.33,7.05,69.0
MOR-1344,7.92,0.17,64.82,294.86,311.8,0.64,4.04,59.0
MOR-6071,8.38,0.52,106.05,312.52,198.43,0.57,6.93,64.0
MOR-5343,3.57,0.54,96.29,232.72,151.22,1.23,5.59,69.0
MOR-7331,6.39,0.32,82.27,390.0,292.19,1.87,2.37,46.0
MOR-5122,3.99,0.41,57.13,311.67,373.43,0.84,3.7,47.0
MOR-4921,2.32,0.41,82.45,312.21,282.88,2.71,7.62,46.0
MOR-8748,3.73,0.41,69.25,305.57,257.45,1.22,2.93,43.0
MOR-9092,6.97,0.5,103.61,344.77,354.57,0.93,4.53,49.0
MOR-4102,2.71,0.51,96.46,371.59,359.5,2.65,2.24,54.0
MOR-4383,4.62,0.63,200.41,246.47,383.64,2.98,2.16,31.0
MOR-2103,2.69,0.23,111.66,374.77,291.5,2.53,7.96,33.0
MOR-5648,4.81,0.6,162.69,312.19,209.06,0.99,2.97,34.0
MOR-8860,2.81,0.79,83.39,202.77,180.24,1.49,3.65,51.0
MOR-8987,3.97,0.89,167.61,306.52,235.59,1.31,3.48,61.0
MOR-6651,7.96,0.61,51.98,338.71,303.22,1.15,2.17,39.0
MOR-6811,5.76,0.36,155.17,216.83,335.24,2.05,3.93,51.0
MOR-9467,8.15,0.57,107.31,253.84,209.71,1.91,7.13,57.0
MOR-5780,6.73,0.29,180.13,202.54,333.83,2.92,2.33,39.0
MOR-1403,4.31,0.28,124.94,229.06,234.14,1.83,5.58,59.0
MOR-3825,6.58,0.54,97.92,356.91,276.3,2.35,5.69,68.0
MOR-7092,6.72,0.88,211.07,329.23,270.39,1.52,4.43,68.0
MOR-4904,9.0,0.3,179.95,308.59,355.9,1.53,6.74,33.0
MOR-1107,5.06,0.34,70.65,213.9,316.42,0.73,4.89,53.0
MOR-8762,3.32,0.37,138.38,357.32,367.48,2.77,7.02,56.0
MOR-9848,7.33,0.45,159.44,213.08,324.5,1.03,2.05,49.0
MOR-5691,8.49,0.57,195.07,228.24,367.81,1.01,5.61,61.0
MOR-6474,2.64,0.65,158.4,335.81,159.62,1.1,7.37,58.0
MOR-4529,2.17,0.58,198.35,207.99,298.79,0.81,5.69,69.0
MOR-2195,5.08,0.53,97.75,205.75,157.81,2.79,2.97,46.0
MOR-2106,4.74,0.55,87.2,323.77,273.26,0.72,4.34,66.0
MOR-9427,6.14,0.63,129.73,399.9,235.57,1.6,3.13,32.0
MOR-6545,7.07,0.36,90.57,298.65,262.79,2.71,5.04,68.0
MOR-7050,7.77,0.29,94.09,231.34,202.24,2.19,6.0,42.0
MOR-5018,5.09,0.21,54.92,351.49,252.4,1.43,5.17,32.0
MOR-9736,5.21,0.75,59.97,399.27,162.4,1.59,7.98,51.0
MOR-4223,4.68,0.84,104.92,281.74,353.75,1.15,3.97,41.0
MOR-4356,4.19,0.59,87.15,392.53,211.14,2.11,2.24,37.0
MOR-8057,4.73,0.28,126.94,316.92,206.31,1.54,6.51,68.0
MOR-3017,4.76,0.44,249.19,382.45,191.68,1.3,7.58,36.0
MOR-3075,6.6,0.39,209.41,362.83,275.42,1.3,7.91,69.0
MOR-6015,5.05,0.19,74.34,373.36,289.42,1.41,7.14,59.0
MOR-4626,2.04,0.86,214.46,216.59,317.4,2.48,7.73,57.0
MOR-8951,5.67,0.42,189.43,337.77,210.86,0.63,2.83,62.0
MOR-7330,7.0,0.12,133.98,206.17,352.69,0.8,5.21,59.0
MOR-8841,4.02,0.88,125.4,340.31,326.05,0.66,6.53,53.0
MOR-3485,5.57,0.75,230.79,374.16,209.72,2.97,4.02,47.0
MOR-6290,7.37,0.24,168.22,337.55,161.8,2.71,4.7,44.0
MOR-2358,8.13,0.17,172.83,354.52,334.67,2.2,4.08,59.0
MOR-4116,6.32,0.76,143.67,368.56,150.49,1.49,4.37,68.0
MOR-5105,5.48,0.17,165.14,394.15,327.49,1.76,5.57,64.0
MOR-4930,6.61,0.23,97.16,290.45,281.56,1.17,5.95,70.0
MOR-1287,6.81,0.6,136.76,344.63,387.01,2.73,7.8,45.0
MOR-5444,3.16,0.14,217.76,324.47,339.81,2.22,2.0,51.0
MOR-9673,4.37,0.22,81.62,325.91,262.46,2.75,4.27,40.0
MOR-9691,4.11,0.14,214.98,207.61,159.12,1.01,3.35,60.0
MOR-5532,4.96,0.12,58.98,339.75,343.73,2.34,5.75,62.0
MOR-5570,7.23,0.76,123.19,364.04,303.17,2.46,2.62,47.0
MOR-6370,7.62,0.69,128.06,272.64,301.46,0.67,7.41,70.0
MOR-4511,5.27,0.68,188.4,299.61,351.04,2.51,6.98,62.0
MOR-6832,5.49,0.31,198.91,224.51,203.1,2.95,2.02,67.0
MOR-8706,8.38,0.21,170.44,373.91,227.03,0.71,3.69,30.0
MOR-8514,8.68,0.25,59.86,249.69,238.39,2.33,2.05,56.0
MOR-4272,4.12,0.27,101.74,232.22,258.47,1.6,6.78,41.0
MOR-4750,5.36,0.55,226.31,235.21,246.19,0.69,5.46,66.0
MOR-9644,8.21,0.4,57.93,364.85,189.55,2.93,7.18,42.0
MOR-1906,2.67,0.87,128.64,273.6,208.9,1.72,5.97,60.0
MOR-7543,5.39,0.77,64.32,269.58,338.92,0.92,2.72,40.0
MOR-8593,6.84,0.81,187.2,327.96,371.98,2.19,7.43,60.0
MOR-8691,8.52,0.41,54.26,382.75,239.16,1.97,7.74,50.0
MOR-9624,4.57,0.2,71.5,398.94,378.63,2.2,5.35,55.0
MOR-9637,8.46,0.86,97.69,388.86,251.69,1.47,7.14,59.0
MOR-4766,2.15,0.53,188.97,340.22,236.75,1.52,7.06,33.0
MOR-3676,5.16,0.72,102.1,207.97,340.47,0.72,6.38,32.0
MOR-9215,7.71,0.85,159.06,270.91,162.72,1.59,7.11,42.0
MOR-1700,6.08,0.71,167.75,271.78,306.14,1.67,6.47,38.0
MOR-9173,8.61,0.89,85.46,385.55,186.45,1.27,5.82,39.0
MOR-5575,6.86,0.15,91.47,231.94,217.32,1.42,3.21,59.0
MOR-3053,6.73,0.1,158.47,386.62,237.35,2.08,7.37,47.0
MOR-6827,8.0,0.46,139.06,204.78,152.42,1.45,6.92,37.0
MOR-3166,2.52,0.75,87.44,220.38,276.33,0.96,2.31,56.0
MOR-4865,3.28,0.68,230.97,218.48,340.53,2.01,4.61,58.0
MOR-5428,3.13,0.56,246.79,267.05,270.7,2.44,7.97,30.0
MOR-7593,6.38,0.11,91.71,353.8,180.13,1.92,7.27,48.0
MOR-9270,7.17,0.6,186.11,346.05,359.09,1.96,5.22,44.0
MOR-8618,4.84,0.65,173.84,269.33,259.39,0.79,6.62,59.0
MOR-2181,3.66,0.75,82.78,288.81,280.63,0.67,2.49,48.0
